,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,1949-10-29,ATL,DNN,ATL,8.0,,,,
1,1949-11-01,STB,ATL,ATL,21.0,,,,
0,1949-11-01,NYK,CHS,CHS,2.0,,,,
0,1949-11-01,SAC,SHE,SAC,33.0,,,,
0,1949-11-02,MNL,GSW,GSW,12.0,.356,.253,,
0,1949-11-02,LAL,PHW,PHW,12.0,.356,.253,,
1,1949-11-02,NYK,WAT,WAT,8.0,,,,
0,1949-11-03,PHI,DNN,PHI,20.0,,,,
2,1949-11-03,AND,ATL,AND,23.0,,,,
2,1949-11-03,FTW,NYK,FTW,15.0,,,,
0,1949-11-03,SHE,BOS,SHE,15.0,.362,.302,,
0,1949-11-03,DET,NYK,DET,15.0,,,,
1,1949-11-04,GSW,STB,GSW,21.0,,,,
1,1949-11-05,CHS,BOS,CHS,16.0,,,,
1,1949-11-05,PHI,DNN,PHI,33.0,,,,
1,1949-11-05,LAL,BLB,BLB,15.0,,,,
3,1949-11-05,NYK,ATL,ATL,4.0,,,,
1,1949-11-05,SAC,PHW,SAC,30.0,,,,
2,1949-11-05,ROC,GSW,ROC,30.0,,,,
3,1949-11-05,NYK,TRI,TRI,4.0,,,,
1,1949-11-06,DET,CHS,DET,17.0,,,,
3,1949-11-06,SYR,GSW,SYR,10.0,,,,
2,1949-11-06,PHI,PHW,PHI,10.0,,,,
2,1949-11-06,WAT,BOS,WAT,14.0,,,,
4,1949-11-06,SHE,NYK,SHE,6.0,.340,.381,,
2,1949-11-08,LAL,WSC,WSC,2.0,,,,
5,1949-11-08,NYK,INO,INO,15.0,,,,
4,1949-11-09,WSC,GSW,GSW,15.0,.383,.253,,
2,1949-11-09,CHS,SAC,CHS,3.0,,,,
4,1949-11-09,AND,ATL,ATL,3.0,,,,
3,1949-11-09,PHI,INO,PHI,30.0,,,,
3,1949-11-10,SHE,SAC,SHE,10.0,.564,.350,,
3,1949-11-10,MNL,BOS,BOS,14.0,,,,
3,1949-11-10,LAL,BOS,BOS,14.0,,,,
2,1949-11-10,DET,WAT,DET,30.0,,,,
6,1949-11-10,INO,NYK,NYK,4.0,,,,
4,1949-11-10,STB,PHI,STB,6.0,,,,
5,1949-11-11,INO,GSW,GSW,7.0,,,,
4,1949-11-12,BOS,WSC,WSC,8.0,,,,
5,1949-11-12,ATL,WAT,ATL,10.0,,,,
4,1949-11-12,SAC,NYK,SAC,21.0,,,,
4,1949-11-12,CHS,LAL,CHS,7.0,,,,
3,1949-11-12,BLB,DET,BLB,7.0,,,,
6,1949-11-12,GSW,DNN,GSW,18.0,,,,
7,1949-11-12,ROC,NYK,ROC,21.0,,,,
5,1949-11-12,PHI,AND,AND,15.0,,,,
8,1949-11-13,SYR,NYK,SYR,14.0,,,,
6,1949-11-13,PHI,NYK,PHI,14.0,,,,
4,1949-11-13,DET,DNN,DET,19.0,,,,
9,1949-11-15,SYR,NYK,NYK,3.0,,,,
6,1949-11-15,ROC,ATL,ROC,12.0,,,,
5,1949-11-15,BLB,BOS,BOS,5.0,,,,
5,1949-11-15,SAC,TRI,SAC,12.0,,,,
7,1949-11-15,PHI,NYK,NYK,3.0,,,,
6,1949-11-16,PHW,BOS,PHW,13.0,,,,
5,1949-11-16,LAL,STB,LAL,23.0,,,,
7,1949-11-16,GSW,BOS,GSW,13.0,,,,
5,1949-11-16,CHS,DET,CHS,13.0,,,,
7,1949-11-17,BOS,INO,BOS,22.0,,,,
6,1949-11-17,STB,LAL,STB,13.0,,,,
8,1949-11-17,PHI,TRI,PHI,3.0,,,,
7,1949-11-17,SYR,ATL,SYR,3.0,,,,
8,1949-11-18,GSW,CHS,GSW,15.0,,,,
10,1949-11-18,NYK,DNN,NYK,7.0,,,,
6,1949-11-19,DET,TRI,TRI,3.0,,,,
9,1949-11-19,NYK,GSW,NYK,16.0,,,,
8,1949-11-19,BOS,BLB,BLB,9.0,,,,
11,1949-11-19,NYK,PHW,NYK,16.0,,,,
6,1949-11-19,SAC,DNN,SAC,32.0,,,,
7,1949-11-19,AND,LAL,AND,3.0,,,,
8,1949-11-19,FTW,ATL,ATL,3.0,,,,
7,1949-11-20,STB,SAC,STB,21.0,,,,
8,1949-11-20,LAL,INO,LAL,26.0,,,,
9,1949-11-20,PHI,DNN,PHI,26.0,,,,
9,1949-11-20,WAT,ATL,WAT,13.0,,,,
9,1949-11-20,FTW,BOS,FTW,10.0,,,,
7,1949-11-20,DET,BOS,DET,10.0,,,,
10,1949-11-21,PHI,DNN,PHI,10.0,,,,
10,1949-11-21,BOS,AND,AND,14.0,,,,
8,1949-11-22,INO,SAC,INO,6.0,,,,
11,1949-11-22,TRI,BOS,TRI,8.0,,,,
12,1949-11-22,NYK,WSC,WSC,15.0,,,,
10,1949-11-22,ATL,BOS,ATL,8.0,,,,
13,1949-11-23,NYK,WSC,NYK,20.0,,,,
9,1949-11-23,LAL,BLB,LAL,13.0,,,,
9,1949-11-23,SAC,WAT,WAT,19.0,,,,
11,1949-11-24,SHE,ATL,SHE,7.0,.508,.356,,
14,1949-11-24,NYK,PHW,PHW,5.0,,,,
12,1949-11-24,FTW,BOS,BOS,14.0,,,,
11,1949-11-24,PHI,AND,PHI,2.0,,,,
10,1949-11-24,NYK,GSW,GSW,5.0,,,,
8,1949-11-24,DET,BOS,BOS,14.0,,,,
10,1949-11-25,LAL,DNN,DNN,20.0,,,,
10,1949-11-26,SAC,WAT,SAC,25.0,,,,
9,1949-11-26,WSC,DET,WSC,17.0,,,,
11,1949-11-26,CHS,GSW,CHS,36.0,,,,
13,1949-11-26,NYK,BOS,NYK,12.0,,,,
12,1949-11-27,STB,GSW,STB,13.0,,,,
10,1949-11-27,NYK,DET,DET,5.0,,,,
12,1949-11-27,ATL,INO,ATL,16.0,,,,
11,1949-11-27,CHS,LAL,LAL,14.0,,,,
12,1949-11-27,PHI,WAT,PHI,18.0,,,,
16,1949-11-27,NYK,FTW,FTW,5.0,,,,
13,1949-11-29,GSW,DNN,DNN,1.0,,,,
13,1949-11-29,INO,ATL,INO,16.0,,,,
14,1949-11-30,SYR,BOS,BOS,16.0,,,,
13,1949-11-30,PHI,BOS,BOS,16.0,,,,
17,1949-11-30,MNL,NYK,MNL,10.0,,,,
11,1949-11-30,SAC,WSC,WSC,2.0,,,,
12,1949-11-30,LAL,NYK,LAL,10.0,,,,
11,1949-11-30,WAT,DET,WAT,24.0,,,,
14,1949-11-30,STB,ATL,ATL,7.0,,,,
13,1949-12-01,INO,LAL,INO,18.0,,,,
15,1949-12-01,AND,ATL,AND,9.0,,,,
18,1949-12-01,NYK,STB,STB,17.0,,,,
14,1949-12-01,FTW,GSW,FTW,4.0,,,,
12,1949-12-01,DET,PHW,DET,4.0,,,,
12,1949-12-01,BLB,SAC,BLB,6.0,,,,
15,1949-12-02,ROC,GSW,GSW,3.0,,,,
13,1949-12-02,SAC,PHW,PHW,3.0,,,,
14,1949-12-03,LAL,CHS,CHS,11.0,,,,
16,1949-12-03,ATL,BOS,ATL,5.0,,,,
15,1949-12-03,TRI,BOS,TRI,5.0,,,,
19,1949-12-03,NYK,BLB,NYK,30.0,,,,
16,1949-12-03,WSC,GSW,WSC,16.0,,,,
14,1949-12-03,SAC,INO,SAC,22.0,,,,
15,1949-12-04,MNL,SAC,MNL,15.0,,,,
14,1949-12-04,PHI,INO,PHI,6.0,,,,
16,1949-12-04,STB,BOS,STB,9.0,,,,
13,1949-12-04,DET,WSC,DET,4.0,,,,
15,1949-12-04,LAL,ROC,LAL,15.0,,,,
17,1949-12-06,INO,BOS,INO,11.0,,,,
17,1949-12-07,SYR,ATL,ATL,8.0,,,,
15,1949-12-07,PHI,TRI,TRI,8.0,,,,
16,1949-12-07,LAL,WSC,LAL,17.0,,,,
17,1949-12-08,BOS,GSW,BOS,4.0,,,,
18,1949-12-08,BOS,PHW,BOS,4.0,,,,
22,1949-12-08,NYK,BLB,BLB,22.0,,,,
14,1949-12-08,DET,MNL,DET,21.0,,,,
16,1949-12-08,PHI,SHE,SHE,14.0,.349,.299,,
17,1949-12-08,FTW,LAL,FTW,21.0,,,,
18,1949-12-09,GSW,CHS,GSW,3.0,,,,
23,1949-12-10,NYK,CHS,NYK,2.0,,,,
16,1949-12-10,SAC,SYR,SAC,6.0,,,,
18,1949-12-10,LAL,DNN,LAL,13.0,,,,
19,1949-12-10,BOS,SHE,BOS,5.0,,,,
17,1949-12-10,ROC,PHI,ROC,6.0,,,,
15,1949-12-10,WSC,DET,WSC,6.0,,,,
18,1949-12-11,ATL,DNN,ATL,32.0,,,,
19,1949-12-11,MNL,GSW,MNL,9.0,,,,
19,1949-12-11,LAL,PHW,LAL,9.0,,,,
18,1949-12-11,PHI,SHE,PHI,17.0,,,,
16,1949-12-11,DET,INO,DET,16.0,,,,
17,1949-12-12,AND,DET,AND,8.0,,,,
17,1949-12-13,SAC,DNN,DNN,16.0,,,,
19,1949-12-13,INO,ATL,INO,21.0,,,,
22,1949-12-13,CHS,GSW,CHS,10.0,,,,
22,1949-12-14,ATL,CHS,ATL,5.0,,,,
24,1949-12-14,NYK,MNL,NYK,10.0,.382,.344,,
19,1949-12-14,PHI,FTW,PHI,13.0,,,,
18,1949-12-14,SYR,DET,SYR,13.0,,,,
22,1949-12-14,NYK,LAL,NYK,10.0,.382,.344,,
23,1949-12-14,GSW,WAT,WAT,3.0,,,,
23,1949-12-15,SHE,ATL,SHE,15.0,.403,.300,,
18,1949-12-15,FTW,SAC,FTW,3.0,,,,
22,1949-12-15,AND,PHI,AND,12.0,,,,
19,1949-12-15,DET,ROC,DET,3.0,,,,
22,1949-12-15,BOS,STB,BOS,2.0,,,,
23,1949-12-15,BLB,LAL,BLB,19.0,,,,
19,1949-12-16,CHS,SAC,CHS,9.0,,,,
24,1949-12-16,STB,GSW,GSW,14.0,,,,
25,1949-12-17,NYK,STB,NYK,5.0,.304,.266,,
25,1949-12-17,GSW,WAT,GSW,9.0,.302,.355,,
22,1949-12-17,SAC,CHS,SAC,22.0,,,,
23,1949-12-18,PHI,CHS,PHI,13.0,,,,
23,1949-12-18,MNL,BOS,MNL,5.0,,,,
24,1949-12-18,LAL,BOS,LAL,5.0,,,,
22,1949-12-18,DET,BLB,DET,11.0,,,,
24,1949-12-18,AND,ATL,ATL,9.0,,,,
26,1949-12-19,NYK,AND,AND,3.0,,,,
23,1949-12-20,SAC,MNL,SAC,25.0,,,,
25,1949-12-20,ROC,LAL,ROC,25.0,,,,
27,1949-12-20,CHS,NYK,CHS,2.0,,,,
24,1949-12-20,PHI,WAT,WAT,25.0,,,,
25,1949-12-21,PHI,TRI,TRI,12.0,,,,
25,1949-12-21,SYR,ATL,ATL,12.0,,,,
26,1949-12-21,LAL,WSC,WSC,14.0,,,,
26,1949-12-21,GSW,BLB,GSW,10.0,,,,
28,1949-12-21,STB,NYK,STB,23.0,,,,
27,1949-12-22,BOS,LAL,BOS,18.0,,,,
24,1949-12-22,BOS,MNL,BOS,18.0,,,,
23,1949-12-22,DET,STB,DET,12.0,,,,
26,1949-12-22,PHI,SHE,SHE,9.0,.375,.333,,
29,1949-12-23,NYK,DNN,DNN,11.0,,,,
25,1949-12-23,WSC,BOS,WSC,13.0,,,,
26,1949-12-25,ROC,BOS,ROC,9.0,,,,
27,1949-12-25,GSW,BLB,BLB,1.0,,,,
28,1949-12-25,LAL,FTW,LAL,14.0,,,,
24,1949-12-25,SAC,BOS,SAC,9.0,,,,
24,1949-12-25,MNL,DET,MNL,14.0,,,,
27,1949-12-25,PHI,AND,PHI,6.0,,,,
25,1949-12-26,DET,CHS,DET,2.0,,,,
27,1949-12-26,BOS,BLB,BOS,25.0,,,,
26,1949-12-26,MNL,ATL,ATL,2.0,,,,
30,1949-12-26,ROC,NYK,NYK,3.0,.404,.363,,
29,1949-12-26,LAL,TRI,TRI,2.0,,,,
25,1949-12-26,SAC,NYK,NYK,3.0,.404,.363,,
26,1949-12-27,SAC,WSC,SAC,24.0,,,,
28,1949-12-27,BOS,NYK,BOS,19.0,,,,
27,1949-12-28,FTW,ATL,FTW,6.0,,,,
30,1949-12-28,LAL,BLB,LAL,11.0,,,,
28,1949-12-28,WSC,PHI,WSC,2.0,,,,
32,1949-12-28,NYK,PHW,PHW,7.0,,,,
26,1949-12-28,DET,TRI,DET,6.0,,,,
28,1949-12-28,NYK,GSW,GSW,7.0,,,,
27,1949-12-29,SAC,FTW,SAC,18.0,,,,
27,1949-12-29,ROC,DET,ROC,18.0,,,,
29,1949-12-29,PHI,PHW,PHI,2.0,,,,
29,1949-12-29,SYR,GSW,GSW,2.0,,,,
28,1949-12-30,BOS,DET,BOS,19.0,,,,
28,1949-12-30,ATL,DNN,DNN,2.0,,,,
29,1949-12-30,BOS,FTW,BOS,19.0,,,,
29,1949-12-31,DET,PHW,PHW,3.0,,,,
31,1949-12-31,LAL,WAT,WAT,18.0,,,,
30,1949-12-31,FTW,GSW,GSW,3.0,,,,
28,1949-12-31,SAC,STB,SAC,19.0,,,,
33,1949-12-31,WSC,NYK,WSC,6.0,,,,
30,1950-01-01,FTW,BOS,FTW,8.0,,,,
30,1950-01-01,PHI,WSC,PHI,6.0,,,,
31,1950-01-01,NYK,GSW,NYK,22.0,.387,.227,,
32,1950-01-01,LAL,AND,LAL,12.0,,,,
30,1950-01-01,DET,BOS,DET,8.0,,,,
34,1950-01-01,NYK,PHW,NYK,22.0,.387,.227,,
29,1950-01-01,ATL,BLB,ATL,13.0,,,,
30,1950-01-03,INO,ATL,INO,2.0,,,,
29,1950-01-03,SAC,WSC,SAC,4.0,,,,
33,1950-01-04,LAL,FTW,LAL,16.0,,,,
31,1950-01-04,MNL,DET,MNL,16.0,,,,
31,1950-01-04,STB,BOS,STB,4.0,,,,
30,1950-01-04,SAC,WSC,WSC,9.0,,,,
34,1950-01-05,SHE,LAL,SHE,3.0,.459,.390,,
31,1950-01-05,BLB,SAC,BLB,3.0,,,,
31,1950-01-05,PHI,TRI,PHI,9.0,,,,
35,1950-01-05,NYK,WAT,NYK,12.0,,,,
31,1950-01-05,SYR,ATL,SYR,9.0,,,,
32,1950-01-05,DET,STB,DET,4.0,,,,
32,1950-01-06,GSW,ROC,GSW,18.0,,,,
32,1950-01-06,PHW,SAC,PHW,18.0,,,,
32,1950-01-06,BOS,BLB,BOS,21.0,,,,
32,1950-01-07,ATL,SHE,ATL,12.0,,,,
33,1950-01-07,ROC,GSW,ROC,17.0,,,,
36,1950-01-07,FTW,NYK,NYK,8.0,.322,.314,,
33,1950-01-07,SAC,PHW,SAC,17.0,,,,
33,1950-01-07,DET,NYK,NYK,8.0,.322,.314,,
33,1950-01-08,MNL,BOS,MNL,5.0,,,,
34,1950-01-08,DET,SHE,DET,14.0,,,,
32,1950-01-08,PHI,WAT,PHI,16.0,,,,
34,1950-01-08,SAC,STB,STB,2.0,,,,
35,1950-01-08,LAL,BOS,LAL,5.0,,,,
33,1950-01-10,WAT,PHI,WAT,2.0,,,,
35,1950-01-10,SAC,BLB,SAC,18.0,,,,
34,1950-01-10,BOS,DNN,DNN,13.0,,,,
36,1950-01-11,LAL,SYR,LAL,10.0,,,,
34,1950-01-11,MNL,PHI,MNL,10.0,,,,
33,1950-01-11,ATL,AND,ATL,7.0,,,,
37,1950-01-11,NYK,WSC,NYK,1.0,.371,.323,,
35,1950-01-12,PHI,FTW,FTW,2.0,,,,
37,1950-01-12,LAL,STB,STB,16.0,,,,
35,1950-01-12,SYR,DET,DET,2.0,,,,
34,1950-01-13,WSC,GSW,GSW,10.0,,,,
35,1950-01-13,CHS,BOS,BOS,1.0,,,,
36,1950-01-14,SAC,MNL,SAC,6.0,,,,
35,1950-01-14,WSC,GSW,WSC,8.0,,,,
38,1950-01-14,ROC,LAL,ROC,6.0,,,,
36,1950-01-14,NYK,BOS,NYK,2.0,.378,.411,,
39,1950-01-15,LAL,ROC,LAL,12.0,,,,
37,1950-01-15,MNL,SAC,MNL,12.0,,,,
36,1950-01-15,FTW,GSW,FTW,14.0,,,,
36,1950-01-15,PHI,INO,PHI,13.0,,,,
36,1950-01-15,DET,PHW,DET,14.0,,,,
34,1950-01-15,ATL,WAT,ATL,4.0,,,,
37,1950-01-16,GSW,SHE,GSW,17.0,,,,
40,1950-01-17,LAL,BOS,BOS,26.0,,,,
37,1950-01-17,MNL,BOS,BOS,26.0,,,,
38,1950-01-18,PHW,BOS,PHW,8.0,,,,
38,1950-01-18,SAC,TRI,TRI,5.0,,,,
38,1950-01-18,GSW,BOS,GSW,8.0,,,,
35,1950-01-18,ROC,ATL,ATL,5.0,,,,
41,1950-01-18,LAL,WSC,WSC,8.0,,,,
37,1950-01-18,DET,SHE,SHE,1.0,.306,.296,,
39,1950-01-19,MNL,NYK,NYK,11.0,,.366,,
37,1950-01-19,PHI,DNN,PHI,21.0,,,,
36,1950-01-19,CHS,ATL,CHS,15.0,,,,
44,1950-01-19,LAL,NYK,NYK,11.0,,.366,,
39,1950-01-19,SAC,AND,AND,3.0,,,,
39,1950-01-19,BOS,PHW,BOS,23.0,,,,
38,1950-01-19,STB,DET,STB,10.0,,,,
39,1950-01-19,BOS,GSW,BOS,23.0,,,,
40,1950-01-20,GSW,MNL,GSW,1.0,,,,
45,1950-01-20,PHW,LAL,PHW,1.0,,,,
40,1950-01-21,SAC,AND,SAC,16.0,,,,
39,1950-01-21,INO,DET,INO,18.0,,,,
41,1950-01-21,BLB,GSW,BLB,10.0,,,,
46,1950-01-22,LAL,CHS,LAL,28.0,,,,
40,1950-01-22,STB,BOS,STB,24.0,,,,
41,1950-01-22,NYK,SAC,NYK,10.0,.366,.295,,
38,1950-01-22,AND,PHI,PHI,2.0,,,,
40,1950-01-22,DET,WSC,DET,12.0,,,,
40,1950-01-22,NYK,ROC,NYK,10.0,.366,.295,,
37,1950-01-22,ATL,DNN,ATL,14.0,,,,
38,1950-01-23,ATL,AND,AND,3.0,,,,
44,1950-01-24,GSW,FTW,GSW,13.0,,,,
41,1950-01-24,PHW,DET,PHW,13.0,,,,
44,1950-01-24,SAC,BLB,SAC,14.0,,,,
47,1950-01-24,LAL,CHS,CHS,12.0,,,,
41,1950-01-24,NYK,SHE,NYK,33.0,.425,.278,,
44,1950-01-25,NYK,DET,NYK,30.0,.493,.256,,
